Title,Genre,Director,Budget,Revenue,IMDB_Rating,Review
Movie 1,Action,Director B,61775559,262819013,7.7,A decent movie with good direction.
Movie 2,Action,Director A,60131327,7150684,5.3,Amazing movie with great visuals and acting.
Movie 3,Drama,Director B,70203550,67974054,9.4,Loved the characters and the storyline.
Movie 4,Romance,Director C,77732425,292278101,6.9,Amazing movie with great visuals and acting.
Movie 5,Romance,Director A,82511221,270168521,3.6,Loved the characters and the storyline.
Movie 6,Romance,Director B,87908845,192688820,7.8,A decent movie with good direction.
Movie 7,Drama,Director D,81779347,83189947,7.3,"Not worth the time, poor screenplay."
Movie 8,Drama,Director C,1565411,123990430,6.7,Loved the characters and the storyline.
Movie 9,Action,Director C,56191486,95067744,8.3,Terrible plot and boring scenes.
Movie 10,Action,Director B,1327297,198816372,7.7,Amazing movie with great visuals and acting.
Movie 11,Horror,Director C,29503964,108424665,6.9,Loved the characters and the storyline.
Movie 12,Comedy,Director C,69985200,108544331,7.5,A decent movie with good direction.
Movie 13,Drama,Director A,6061831,124550838,6.1,Terrible plot and boring scenes.
Movie 14,Romance,Director C,97126764,151617786,5.5,"Not worth the time, poor screenplay."
Movie 15,Horror,Director B,77549261,29263037,7.5,"Not worth the time, poor screenplay."
Movie 16,Thriller,Director B,42885694,55790649,7.4,Loved the characters and the storyline.
Movie 17,Comedy,Director B,28071870,277873720,3.9,"Not worth the time, poor screenplay."
Movie 18,Drama,Director A,73278814,46844537,3.8,Amazing movie with great visuals and acting.
Movie 19,Romance,Director A,86262673,126896225,8.5,Loved the characters and the storyline.
Movie 20,Drama,Director C,92188484,246700537,8.3,A decent movie with good direction.
Movie 21,Action,Director C,89649368,25489382,8.8,Loved the characters and the storyline.
Movie 22,Thriller,Director B,67978998,105643892,4.7,A decent movie with good direction.
Movie 23,Horror,Director C,46104336,215179979,8.2,"Not worth the time, poor screenplay."
Movie 24,Thriller,Director B,67682663,69328806,4.8,A decent movie with good direction.
Movie 25,Comedy,Director A,98910816,54355386,3.5,Amazing movie with great visuals and acting.
Movie 26,Action,Director A,12006840,61746751,6.3,A decent movie with good direction.
Movie 27,Thriller,Director C,62765671,285670973,8.9,Terrible plot and boring scenes.
Movie 28,Comedy,Director B,79617457,221322439,8,Terrible plot and boring scenes.
Movie 29,Comedy,Director C,14800639,116584502,7.3,Terrible plot and boring scenes.
Movie 30,Action,Director A,51965480,157546604,5.3,Terrible plot and boring scenes.
Movie 31,Horror,Director B,18598570,208991579,4.7,A decent movie with good direction.
Movie 32,Thriller,Director C,88673873,264708051,7.6,Amazing movie with great visuals and acting.
Movie 33,Romance,Director C,54654395,180582928,7.5,Amazing movie with great visuals and acting.
Movie 34,Comedy,Director C,4981242,101373419,5.4,Amazing movie with great visuals and acting.
Movie 35,Romance,Director C,62964531,258839640,3.7,"Not worth the time, poor screenplay."
Movie 36,Horror,Director D,61566241,5264257,7.7,Terrible plot and boring scenes.
Movie 37,Romance,Director C,71538495,90402645,8.1,Loved the characters and the storyline.
Movie 38,Action,Director C,91076381,34400759,3.8,Amazing movie with great visuals and acting.
Movie 39,Drama,Director B,39184821,107885201,6.6,A decent movie with good direction.
Movie 40,Drama,Director C,89802770,186025643,8.3,Terrible plot and boring scenes.
Movie 41,Horror,Director B,13636419,177007076,4.2,"Not worth the time, poor screenplay."
Movie 42,Horror,Director B,69964935,185065800,6.2,Amazing movie with great visuals and acting.
Movie 43,Comedy,Director B,49958475,94400963,5.4,A decent movie with good direction.
Movie 44,Drama,Director C,77647525,235459755,3.9,A decent movie with good direction.
Movie 45,Comedy,Director C,62315230,32670141,4.9,Loved the characters and the storyline.
Movie 46,Comedy,Director D,10835987,243911929,8.5,Terrible plot and boring scenes.
Movie 47,Horror,Director C,70450080,161778140,3.5,Loved the characters and the storyline.
Movie 48,Horror,Director D,10321102,298866096,4.1,Terrible plot and boring scenes.
Movie 49,Thriller,Director C,72390469,79025552,7.2,Terrible plot and boring scenes.
Movie 50,Horror,Director B,76928402,33656353,8.1,Terrible plot and boring scenes.
Movie 51,Romance,Director D,8885210,121083080,3.6,"Not worth the time, poor screenplay."
Movie 52,Action,Director D,3020122,239195531,8.9,Amazing movie with great visuals and acting.
Movie 53,Romance,Director A,58057014,94963084,4.5,Terrible plot and boring scenes.
Movie 54,Horror,Director C,63653539,78553664,8.6,Terrible plot and boring scenes.
Movie 55,Horror,Director B,4700527,13517840,7.1,Terrible plot and boring scenes.
